Replicate,NWord,NChar,AveWdLen,Words
1,7,30,3.2857142857142856," ""Four_score_and_seven_years_ago"""
2,7,31,3.7142857142857144," ""Four_score_and_seven_years_ago"""
3,7,30,3.2857142857142856," ""Four_score_and_seven_years_ago"""
4,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
5,7,30,3.7142857142857144," ""Four_score_and_seven_years_ago"""
6,7,31,3.5714285714285716," ""Four_score_and_seven_years_ago"""
7,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
8,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
9,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
10,7,30,3.2857142857142856," ""Four_score_and_seven_years_ago"""
11,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
12,7,31,3.5714285714285716," ""Four_score_and_seven_years_ago"""
13,7,31,3.5714285714285716," ""Four_score_and_seven_years_ago"""
14,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
15,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
16,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
17,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
18,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
19,7,31,3.5714285714285716," ""Four_score_and_seven_years_ago"""
20,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
21,7,31,3.7142857142857144," ""Four_score_and_seven_years_ago"""
22,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
23,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
24,7,30,3.7142857142857144," ""Four_score_and_seven_years_ago"""
25,7,31,3.7142857142857144," ""Four_score_and_seven_years_ago"""
26,7,31,3.5714285714285716," ""Four_score_and_seven_years_ago."""
27,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
28,7,30,3.4285714285714284," ""Four_score_and_seven_years_ago"""
29,7,30,3.5714285714285716," ""Four_score_and_seven_years_ago"""
